Joke,Category,Likes,Dislikes,Like%
Q: Can a kangaroo jump higher than the Empire State Building? A: Of course. The Empire State Building can't jump.,animal-jokes,6332,2562,0.71194065
Q: Why did the witches' team lose the baseball game? A: Their bats flew away.,animal-jokes,5367,3028,0.6393091
Q. What did the elephant say to the naked man? A. "How do you breathe through something so small?",animal-jokes,4919,3061,0.61641604
Q: Why couldn't the leopard play hide and seek? A: Because he was always spotted.,animal-jokes,4345,1768,0.7107803
Q: How do you count cows? A: With a cowculator.,animal-jokes,4291,1857,0.69795054
Late one night a burglar broke into a house and while he was sneaking around he heard a voice say^ "Jesús is watching you." He looked around and saw nothing. He kept on creeping and again heard^ "Jesús is watching you." In a dark corner^ he saw a cage with a parrot inside. The burglar asked the parrot^ "Was it you who said Jesús is watching me" The parrot replied^ "Yes." Relieved^ the burglar asked^ "What is your name?" The parrot said^ "Clarence." The burglar said^ "That's a stupid name for a parrot. What idiot named you Clarence?" The parrot answered^ "The same idiot that named the rottweiler Jesús.",animal-jokes,3567,1287,0.73485786
There was a papa mole^ a momma mole^ and a baby mole. They lived in a hole out in the country near a farmhouse. Papa mole poked his head out of the hole and said^ "Mmmm^ I smell sausage!" Momma mole poked her head outside the hole and said^ "Mmmm^ I smell pancakes!" Baby mole tried to stick his head outside but couldn't because of the two bigger moles. Baby mole said^ "The only thing I smell is molasses.",animal-jokes,3295,1816,0.64468795
A blonde^ a redhead^ and a brunette were all lost in the desert. They found a lamp and rubbed it. A genie popped out and granted them each one wish. The redhead wished to be back home. Poof! She was back home. The brunette wished to be at home with her family. Poof! She was back home with her family. The blonde said^ "Awwww^ I wish my friends were here.",blonde-jokes,24103,3665,0.86801356
Blonde: "What does IDK stand for?" Brunette: "I don’t know." Blonde: "OMG^ nobody does!",blonde-jokes,19457,3950,0.8312471
Two blondes fell down a hole. One said^ "It's dark in here isn't it?" The other replied^ "I don't know; I can't see.",blonde-jokes,19328,3122,0.8609354
There was a blonde^ a redhead^ and a brunette. They were all trapped on an island and the nearest shore was 50 miles away. The redhead swam trying to make it to the other shore she swam 15 miles^ drowned^ and died. The brunette swam 24 miles^ drowned^ and died. The blonde swam 25 miles^ got tired^ and swam back.,blonde-jokes,16403,3070,0.84234583
Q: Why can't a blonde dial 911? A: She can't find the eleven.,blonde-jokes,16248,3285,0.83182305
A guy took his blonde girlfriend to her first football game. They had great seats right behind their team's bench. After the game^ he asked her how she liked the experience. "Oh^ I really liked it^" she replied^ "especially the tight pants and all the big muscles^ but I just couldn't understand why they were killing each other over 25 cents." Dumbfounded^ her date asked^ "What do you mean?" "Well^ they flipped a coin^ one team got it^ and then for the rest of the game^ all they kept screaming was^ 'Get the quarterback! Get the quarterback!' I'm like^ hello? It's only 25 cents!",blonde-jokes,11942,1805,0.8686986
A blonde and a redhead have a ranch. They have just lost their bull. The women need to buy another^ but only have $500. The redhead tells the blonde^ "I will go to the market and see if I can find one for under that amount. If I can^ I will send you a telegram." She goes to the market and finds one for $499. Having only one dollar left^ she goes to the telegraph office and finds out that it costs one dollar per word. She is stumped on how to tell the blonde to bring the truck and trailer. Finally^ she tells the telegraph operator to send the word "comfortable." Skeptical^ the operator asks^ "How will she know to come with the trailer from just that word?" The redhead replies^ "She's a blonde so she reads slow: 'Come for ta bull.'",blonde-jokes,10994,3518,0.7575799
A robber comes into the store & steals a TV. A blonde runs after him and says^ "Wait^ you forgot the remote!",blonde-jokes,9778,1802,0.8443869
There was a blonde who just got sick and tired of all the blonde jokes. One evening^ she went home and memorized all the state capitals. Back in the office the next day^ some guy started telling a dumb blonde joke. She interrupted him with a shrill announcement^ "I've had it up to here with these blonde jokes. I want you to know that this blonde went home last night and did something probably none of you could do. I memorized all the state capitals." One of the guys^ of course^ said^ "I don't believe you. What is the capital of Nevada?" "N^" she answered.,blonde-jokes,8681,1670,0.8386629
A guy was driving in a car with a blonde. He told her to stick her head out the window and see if the blinker worked. She stuck her head out and said^ "Yes^ No^ Yes^ No^ Yes...",blonde-jokes,8327,1608,0.83814794
There are 11 people hanging onto a rope that comes down from an airplane. 10 of them are blonde^ and one is a brunette. They all decide that one person should get off because if they don't^ the rope will break and everyone will die. No one can decide who should go^ so finally the brunette delivers a very touching speech^ ending with the words^ "I'll get off." The blondes^ all moved by the brunette's speech^ start clapping. Problem solved.,blonde-jokes,7289,1113,0.86753154
A blonde^ wanting to earn some money^ decided to hire herself out as a handyman-type and started canvassing a wealthy neighborhood. She went to the front door of the first house and asked the owner if he had any jobs for her to do. "Well^ you can paint my porch. How much will you charge?" The blonde said^ "How about 50 dollars?" The man agreed and told her that the paint and ladders that she might need were in the garage. The man's wife^ inside the house^ heard the conversation and said to her husband^ "Does she realize that the porch goes all the way around the house?" The man replied^ "She should. She was standing on the porch." A short time later^ the blonde came to the door to collect her money. "You're finished already?" he asked. "Yes^" the blonde answered^ "and I had paint left over^ so I gave it two coats. "Impressed^ the man reached in his pocket for the $50. "And by the way^" the blonde added^ "that's not a Porch^ it's a Ferrari.",blonde-jokes,7238,1150,0.86289936
Don't be racist; racism is a crime; and crime is for black people.,boycott-these-jokes,8330,4375,0.6556474
How do you starve a black person? Put their food stamp card under their workboots!,boycott-these-jokes,6059,5845,0.50898856
Q: How does a black girl tell if she is pregnant? A: When she pulls the tampon out all the cotton is picked.,boycott-these-jokes,4991,2726,0.6467539
I was at my bank today waiting in a short line. There was just one lady in front of me^ an Asian lady^ who was trying to exchange yen for dollars. It was obvious she was a little irritated. She asked the teller^ "Why it change? Yesterday^ I get two hunat dolla of yen. Today I only get hunat eighty? Why it change?" The teller shrugged his shoulders and said^ "Fluctuations." The Asian lady says^ "Fluc you white people too!",boycott-these-jokes,2214,717,0.7553736
An old man takes his grandson fishing in a local pond one day. After 20 minutes of fishing^ the old man fires up a cigar. The young boy asks^ "Grandpa^ can I have a cigar?" The old man asks^ "Son^ can your d*ck touch your asshole?" The young boy says no. "Then u can't have a cigar." Another 20 minutes passes^ and the old man opens a beer. The young boy asks^ "Grandpa^ can I have a beer?" The old man asks^ "Son^ can your d*ck touch your asshole?" The young boy says no. "Well^ then u can't have a beer." Another 20 minutes passes^ and the young boy opens a bag of potato chips. The old man asks^ "Son^ can I have some of your chips?" The boy asks^ "Well^ Grandpa^ can your d*ck touch your asshole?" The old man says^ "It sure can." The boy says^ "Well good^ then go f*ck yourself^ these are my chips.",boycott-these-jokes,1627,293,0.84739584
Jill goes home one night with a guy she met at a club. He's tall^ super hot^ and seems different than most guys she meets. They arrive at his place and head straight to his room. Jill can't help but notice a shelf full of teddy bears. On the bottom are small teddy bears^ on the middle are medium-sized teddy bears^ and finally^ on the top are large teddy bears^ all lined up beside each other. She begins to think that he is sentimental and sweet^ and isn't afraid to show it. Her heart melts and she want to give him the best night of his life. She gives him a bl*wjob^ and lets him really give it to her^ and even takes it in the rear! In the morning^ she slowly gets dressed^ and smiles at him and asks^ "How was that?" He nods and says^ "Not too f*ckin' bad at all. Help yourself to a prize on the second shelf!",boycott-these-jokes,1031,305,0.7717066
Helen Keller walks into a bar^ then a table^ then a chair.,boycott-these-jokes,955,755,0.55847955
A man siting at a bar asked a pretty woman sitting next to him^ Excuse me^ but can I smell your pussy?" "Get away from me^ you pervert^" she replied. "Oh^ I'm sorry^" exclaims the man^ "It must be your feet.",boycott-these-jokes,942,998,0.485567
Q: What did the cannibal do after dumping his girlfriend? A: He wiped his bum.,boycott-these-jokes,875,886,0.49687678
What do you call a cow with no legs? Ground beef.,boycott-these-jokes,827,443,0.6511811
Four gay guys are sitting in a Jacuzzi when all of a sudden^ a condom starts floating. One of the gay guys turns around and asks^ "Okay^ who farted?",boycott-these-jokes,824,290,0.73967683
So this dude comes home from work one day^ and his wife is watching the Food Network. The husband asks^ "Why do you watch that? You still cant cook^" and the wife responds^ "Why do you watch porn? You still cant f*ck.",boycott-these-jokes,791,123,0.8654267
A child asked his father^ "How were people born?" So his father said^ "Adam and Eve made babies^ then their babies became adults and made babies^ and so on." The child then went to his mother^ asked her the same question and she told him^ "We were monkeys then we evolved to become like we are now." The child ran back to his father and said^ "You lied to me!" His father replied^ "No^ your mom was talking about her side of the family.",family-jokes,43985,10789,0.803027
Mr. and Mrs. Brown had two sons. One was named Mind Your Own Business & the other was named Trouble. One day the two boys decided to play hide and seek. Trouble hid while Mind Your Own Business counted to one hundred. Mind Your Own Business began looking for his brother behind garbage cans and bushes. Then he started looking in and under cars until a police man approached him and asked^ "What are you doing?" "Playing a game^" the boy replied. "What is your name?" the officer questioned. "Mind Your Own Business." Furious the policeman inquired^ "Are you looking for trouble?!" The boy replied^ "Why^ yes.",family-jokes,12026,2328,0.8378152
A woman gets on a bus with her baby. The bus driver says^ "That's the ugliest baby that I've ever seen. Ugh!" The woman goes to the rear of the bus and sits down^ fuming. She says to a man next to her^ "The driver just insulted me!" The man says^ "You go right up there and tell him off – go ahead^ I'll hold your monkey for you.",family-jokes,8035,2760,0.74432606
A boy asks his father^ "Dad^ are bugs good to eat?" "That's disgusting. Don't talk about things like that over dinner^" the dad replies. After dinner the father asks^ "Now^ son^ what did you want to ask me?" "Oh^ nothing^" the boy says. "There was a bug in your soup^ but now it’s gone.",family-jokes,5967,1276,0.8238299
An elderly couple are in church. The wife leans over and whispers to her husband^ "I just let out a long^ silent fart. What should I do?" The husband replies^ "First off^ replace the batteries in your hearing aid!",family-jokes,5460,1606,0.77271444
Q: Why did the witches' team lose the baseball game? A: Their bats flew away.,family-jokes,5367,3028,0.6393091
There was an elderly couple who in their old age noticed that they were getting a lot more forgetful^ so they decided to go to the doctor. The doctor told them that they should start writing things down so they don't forget. They went home and the old lady told her husband to get her a bowl of ice cream. "You might want to write it down^" she said. The husband said^ "No^ I can remember that you want a bowl of ice cream." She then told her husband she wanted a bowl of ice cream with whipped cream. "Write it down^" she told him^ and again he said^ "No^ no^ I can remember: you want a bowl of ice cream with whipped cream." Then the old lady said she wants a bowl of ice cream with whipped cream and a cherry on top. "Write it down^" she told her husband and again he said^ "No^ I got it. You want a bowl of ice cream with whipped cream and a cherry on top." So he goes to get the ice cream and spends an unusually long time in the kitchen^ over 30 minutes. He comes out to his wife and hands her a plate of eggs and bacon. The old wife stares at the plate for a moment^ then looks at her husband and asks^ "Where's the toast?",family-jokes,4424,1616,0.7324503
A 3 years old boy sits near a pregnant woman. Boy: Why do you look so fat? Pregnant woman: I have a baby inside me. Boy: Is it a good baby? Pregnant woman: Yes^ it is a very good baby. Boy: Then why did you eat it?!,family-jokes,4390,877,0.83349156
Q: Why couldn't the leopard play hide and seek? A: Because he was always spotted.,family-jokes,4345,1768,0.7107803
Q: What starts with E^ ends with E^ and has only 1 letter in it? A: Envelope.,family-jokes,4271,1897,0.69244486
Wife: "In my dream^ I saw you in a jewelry store and you bought me a diamond ring." Husband: "I had the same dream and I saw your dad paying the bill.",family-jokes,4265,1532,0.7357254
One day Jimmy got home early from school and his mom asked^ "Why are you home so early?" He answered^ "Because I was the only one that answered a question in my class." She said^ "Wow^ my son is a genius. What was the question?" Jimmy replied^ "The question was 'Who threw the trash can at the principal's head?'",family-jokes,3629,619,0.85428435
A family is at the dinner table. The son asks the father^ “Dad^ how many kinds of boobs are there?” The father^ surprised^ answers^ “Well^ son^ a woman goes through three phases. In her 20s^ a woman’s breasts are like melons^ round and firm. In her 30s and 40s^ they are like pears^ still nice^ hanging a bit. After 50^ they are like onions.” “Onions?” the son asks. “Yes. You see them and they make you cry.” This infuriated his wife and daughter. The daughter asks^ “Mom^ how many different kinds of willies are there?” The mother smiles and says^ “Well^ dear^ a man goes through three phases also. In his 20s^ his willy is like an oak tree^ mighty and hard. In his 30s and 40s^ it’s like a birch^ flexible but reliable. After his 50s^ it’s like a Christmas tree.” “A Christmas tree?” the daughter asks. “Yes^ dead from the root up and the balls are just for decoration.”,food-jokes,70085,10465,0.8700807
A teacher is teaching a class and she sees that Johnny isn't paying attention^ so she asks him^ "If there are three ducks sitting on a fence^ and you shoot one^ how many are left?" Johnny says^ "None." The teacher asks^ "Why?" Johnny says^ "Because the shot scared them all off." The teacher says^ "No^ two^ but I like how you're thinking." Johnny asks the teacher^ "If you see three women walking out of an ice cream parlor^ one is licking her ice cream^ one is sucking her ice cream^ and one is biting her ice cream^ which one is married?" The teacher says^ "The one sucking her ice cream." Johnny says^ "No^ the one with the wedding ring^ but I like how you're thinking!",food-jokes,62307,8939,0.8745333
My friend thinks he is smart. He told me an onion is the only food that makes you cry^ so I threw a coconut at his face.,food-jokes,29414,6505,0.8188981
A boy is selling fish on a corner. To get his customers' attention^ he is yelling^ "Dam fish for sale! Get your dam fish here!" A pastor hears this and asks^ "Why are you calling them 'dam fish.'" The boy responds^ "Because I caught these fish at the local dam." The pastor buys a couple fish^ takes them home to his wife^ and asks her to cook the dam fish. The wife responds surprised^ "I didn't know it was acceptable for a preacher to speak that way." He explains to her why they are dam fish. Later at the dinner table^ he asks his son to pass the dam fish. He responds^ "That's the spirit^ Dad! Now pass the f*cking potatoes!",food-jokes,11624,3542,0.7664513
A man kills a deer and takes it home to cook for dinner. Both he and his wife decide that they won't tell the kids what kind of meat it is^ but will give them a clue and let them guess. The dad said^ "Well it's what Mommy calls me sometimes." The little girl screamed to her brother^ "Don't eat it. Its an asshole!,food-jokes,9334,1739,0.8429513
A teacher asked her students to use the word "beans" in a sentence. "My father grows beans^" said one girl. "My mother cooks beans^" said a boy. A third student spoke up^ "We are all human beans.",food-jokes,8985,4457,0.6684273
A boy asks his father^ "Dad^ are bugs good to eat?" "That's disgusting. Don't talk about things like that over dinner^" the dad replies. After dinner the father asks^ "Now^ son^ what did you want to ask me?" "Oh^ nothing^" the boy says. "There was a bug in your soup^ but now it’s gone.",food-jokes,5965,1277,0.82366747
Q: Why did the can crusher quit his job? A: Because it was soda pressing.,food-jokes,2984,1223,0.709294
Q: Why do hamburgers go to the gym A: To get better buns!,food-jokes,2657,1375,0.65897816
Q. How much room is needed for fungi to grow? A. As mushroom as possible,food-jokes,2183,1201,0.6450946
Q: What do you call stoned Mexicans? A: Baked beans.,food-jokes,2111,946,0.6905463
Yo mama so fat the bears have to hide their food from her when she goes camping.,food-jokes,1604,688,0.69982547
Q: Why did the witches' team lose the baseball game? A: Their bats flew away.,holiday-jokes,5367,3028,0.6393091
It was Christmas Eve. A woman came home to her husband after a day of busy shopping. Later on that night when she was getting undressed for bed^ he noticed a mark on the inside of her leg. "What is that?" he asked. She said^ "I visited the tattoo parlor today. On the inside of one leg I had them tattoo 'Merry Christmas^' and on the inside of the other one they tattooed 'Happy New Year.'" Perplexed^ he asked^ "Why did you do that?" "Well^" she replied^ "now you can't complain that there's never anything to eat between Christmas and New Years!",holiday-jokes,5281,1957,0.72962147
On Thanksgiving day^ a little boy overhears his mom and dad fighting. He hears his mom call his dad a bastard and hears his dad call his mom a bitch. He asks^ "Mommy^ what does bastard mean?" She answers^ "Um^ it means boy." Then he asks^ "Daddy^ what does bitch mean?" He says^ "Uh^ it means girl." Later that day^ the boy sees his father in the bathroom shaving; the dad accidentally cuts himself and says^ "Sh*t." The son asks^ "What does that mean?" The dad says^ "It means shaving cream." Then he sees his mom in the kitchen carving the turkey; she accidentally cuts herself and says^ "F*ck." The son asks her what that word means and she says^ "It means carving." That evening^ the family's guests arrive for Thanksgiving dinner. The son opens the door to welcome them and says^ "Welcome bitches and bastards! My dad is in the bathroom rubbing sh*t on his face and my mom is in the kitchen f*cking the turkey.",holiday-jokes,3245,516,0.86280245
How is Christmas like your job? You do all the work and the fat guy in the suit gets all the credit.,holiday-jokes,3139,1473,0.6806158
Q: Can February march? A: No^ but April may.,holiday-jokes,2587,908,0.7402003
Yo momma is so short^ when she went to meet Santa he said^ "Go back to work!",holiday-jokes,2360,894,0.7252612
Q: What is the difference between Tiger Woods and Santa Claus? A: Santa stops after three hos.,holiday-jokes,2340,1023,0.69580734
A little kids sends a letter to Santa that says: "Dear Santa I want a brother for Christmas." Santa writes back^ "Dear Timmy send me me your mommy.",holiday-jokes,2292,845,0.7306344
Mother: "Sweetie^ make a Christmas wish." Girl: "I wish that Santa will send some clothes to those naked girls in papa's computer.",holiday-jokes,1759,422,0.80651075
Yo momma is so stupid when I told her Christmas is right around the corner she went looking for it.,holiday-jokes,1615,965,0.625969
Q: Why is Santa Claus' sack so big? A: He only comes once a year.,holiday-jokes,1328,823,0.61738724
Q: Why are ghosts bad liars? A: You can see right through them.,holiday-jokes,813,406,0.6669401
A man goes to a bar and sees a fat girl dancing on a table. He walks over to her and says^ "Wow^ nice legs!" She is flattered and replies^ "You really think so?" The man says^ "Oh definitely! Most tables would have collapsed by now.",how-to-be-insulting,3556,534,0.86943763
Don't break anybody's heart; they only have 1. Break their bones; they have 206.,how-to-be-insulting,2335,686,0.7729229
Yo momma is so fat she uses a pillow for a tampon.,how-to-be-insulting,2142,1495,0.58894694
If you ever fart in public^ just yell^ "Turbo power!" and walk faster.,how-to-be-insulting,1906,411,0.82261544
Interviewer: "What's your greatest weakness?" Candidate: "Honesty." Interviewer: "I don't think honesty is a weakness." Candidate: "I don't give a f*ck what you think.",how-to-be-insulting,1525,360,0.80901855
A kid from Mississippi is on Harvard campus for the first time^ he stops a student and asks^ "Excuse me^ can you tell me where the library is at?" The Harvard student replies "At Harvard^ you don’t end a sentence with a preposition." The kid said^ "Sorry about that. Can you tell me where the library is at^ asshole?",how-to-be-insulting,1517,230,0.86834574
How to be Insulting in Theaters: If the person sitting in front of you is blocking your view^ try adopting an irritating cough^ or kicking your feet under their seat. Nasty^ wet sneezes down the back of their neck are also effective in persuading them to look elsewhere for a seat.,how-to-be-insulting,1425,840,0.62913907
How to be insulting when giving directions: Point with four fingers when they ask.,how-to-be-insulting,1171,835,0.58374876
How to be Insulting at Christmas: Try to find what you were given last year and give it back to the person who gave it to you.,how-to-be-insulting,1012,317,0.7614748
How to be Insulting on Public Transportation: Pretend to be foreign when the conductor asks for your fare and try to give him the wrong denomination of money.,how-to-be-insulting,535,302,0.6391876
Fun fact: If you cut off all your body hair and laid it end to end you'd be a fucking weirdo.,how-to-be-insulting,531,225,0.70238096
How to be insulting at the library: Find the coziest reading nook and start snoring.,how-to-be-insulting,490,218,0.6920904
Teacher: "Kids^ what does the chicken give you?" Student: "Meat!" Teacher: "Very good! Now what does the pig give you?" Student: "Bacon!" Teacher: "Great! And what does the fat cow give you?" Student: "Homework!",insult-jokes,73161,17988,0.8026528
My friend thinks he is smart. He told me an onion is the only food that makes you cry^ so I threw a coconut at his face.,insult-jokes,29417,6523,0.8185031
Roses are red. Your blood is too. You look like a monkey And belong in a zoo. Do not worry^ I'll be there too. Not in the cage^ But laughing at you.,insult-jokes,28454,5208,0.8452855
A teacher wanted to teach her students about self-esteem^ so she asked anyone who thought they were stupid to stand up. One kid stood up and the teacher was surprised. She didn’t think anyone would stand up so she asked him^ “Why did you stand up?” He answered^ “I didn’t want to leave you standing up by yourself.”,insult-jokes,12545,1497,0.89339125
Whenever your ex says^ "You'll never find someone like me^" the answer to that is^ "That's the point.",insult-jokes,9051,1717,0.8405461
Kid 1: "Hey^ I bet you're still a virgin." Kid 2: "Yeah^ I was a virgin until last night ." Kid 1: "As if." Kid 2: "Yeah^ just ask your sister." Kid 1: "I don't have a sister." Kid 2: "You will in about nine months.",insult-jokes,8658,3738,0.6984511
Bob was in trouble. He forgot his wedding anniversary. His wife was really angry. She told him "Tomorrow morning^ I expect to find a gift in the driveway that goes from 0 to 200 in 6 seconds AND IT BETTER BE THERE!" The next morning he got up early and left for work. When his wife woke up^ she looked out the window and sure enough there was a box gift-wrapped in the middle of the driveway. Confused^ the wife put on her robe and ran out to the driveway^ brought the box back in the house. She opened it and found a brand new bathroom scale. Bob has been missing since Friday.,insult-jokes,5968,1420,0.8077964
Light travels faster than sound. This is why some people appear bright until you hear them speak.,insult-jokes,5787,1438,0.8009689
A lady comes home from her doctor's appointment grinning from ear to ear. Her husband asks^ "Why are you so happy?" The wife says^ "The doctor told me that for a forty-five year old woman^ I have the breasts of a eighteen year old." "Oh yeah?" quipped her husband^ "What did he say about your forty-five year old ass?" She said^ "Your name never came up in the conversation.",insult-jokes,4912,1473,0.7693031
Girlfriend: "Am I pretty or ugly?" Boyfriend: "You're both." Girlfriend: "What do you mean?" Boyfriend: "You're pretty ugly.",insult-jokes,4906,753,0.86693764
An old teacher asked her student^ "If I say^ 'I am beautiful^' which tense is that?" The student replied^ "It is obviously past.",insult-jokes,4748,574,0.8921458
Did you hear about the two bald guys who put their heads together? They made an ass out of themselves!,insult-jokes,3598,1358,0.7259887
Teacher: "Kids^ what does the chicken give you?" Student: "Meat!" Teacher: "Very good! Now what does the pig give you?" Student: "Bacon!" Teacher: "Great! And what does the fat cow give you?" Student: "Homework!",miscellaneous-jokes,73161,17988,0.8026528
Why did I get divorced? Well^ last week was my birthday. My wife didn't wish me a happy birthday. My parents forgot and so did my kids. I went to work and even my colleagues didn't wish me a happy birthday. As I entered my office^ my secretary said^ "Happy birthday^ boss!" I felt so special. She asked me out for lunch. After lunch^ she invited me to her apartment. We went there and she said^ "Do you mind if I go into the bedroom for a minute?" "Okay^" I said. She came out 5 minutes later with a birthday cake^ my wife^ my parents^ my kids^ my friends^ & my colleagues all yelling^ "SURPRISE!!!" while I was waiting on the sofa... naked.,miscellaneous-jokes,23523,3785,0.86139596
Teacher: "If I gave you 2 cats and another 2 cats and another 2^ how many would you have?" Johnny: "Seven." Teacher: "No^ listen carefully... If I gave you two cats^ and another two cats and another two^ how many would you have?" Johnny: "Seven." Teacher: "Let me put it to you differently. If I gave you two apples^ and another two apples and another two^ how many would you have?" Johnny: "Six." Teacher: "Good. Now if I gave you two cats^ and another two cats and another two^ how many would you have?" Johnny: "Seven!" Teacher: "Johnny^ where in the heck do you get seven from?!" Johnny: "Because I've already got a freaking cat!",miscellaneous-jokes,14311,2598,0.846354
Kid 1: "Hey^ I bet you're still a virgin." Kid 2: "Yeah^ I was a virgin until last night ." Kid 1: "As if." Kid 2: "Yeah^ just ask your sister." Kid 1: "I don't have a sister." Kid 2: "You will in about nine months.",miscellaneous-jokes,8658,3738,0.6984511
